question,answer,cosine_same_anchor,cosine_wrong_modality_anchor,margin_same_minus_wrong,top1_same_index,top1_combined_domain,top1_combined_index
Is the ukulele in the video always playing?,yes,-0.010057119652628899,-0.010266588069498539,0.00020946841686964035,259,same,259
Is the guzheng louder than the piano?,yes,-0.010128563269972801,-0.01124308630824089,0.0011145230382680893,259,same,259
What is the instrument on the left of electric_bass?,saxophone,-0.016739986836910248,-0.01725209876894951,0.0005121119320392609,259,same,259
How many sounding banjo in the video？,one,-0.007892480120062828,-0.00841379351913929,0.0005213133990764618,455,same,455
How many types of musical instruments sound in the video?,one,-0.011976495385169983,-0.012494845315814018,0.0005183499306440353,259,same,259
How many types of musical instruments sound in the video?,two,-0.01358144823461771,-0.014128467999398708,0.0005470197647809982,455,same,455
Is the ukulele in the video always playing?,yes,-0.014994282275438309,-0.01531999371945858,0.0003257114440202713,259,same,259
Is the xylophone in the video always playing?,yes,-0.010629041120409966,-0.010945141315460205,0.00031610019505023956,105,same,105
What is the first instrument that comes in?,acoustic_guitar,-0.014523512683808804,-0.01508965715765953,0.0005661444738507271,259,same,259
Is there a voiceover?,no,-0.009403057396411896,-0.00974276103079319,0.00033970363438129425,259,same,259
Is this sound from the instrument in the video?,yes,-0.011741569265723228,-0.011988746002316475,0.00024717673659324646,259,same,259
How many instruments are sounding in the video?,two,-0.010661602020263672,-0.010419270023703575,-0.00024233199656009674,259,same,259
Is there a voiceover?,no,-0.008590411394834518,-0.009151985868811607,0.0005615744739770889,259,same,259
Is this sound from the instrument in the video?,yes,-0.014705014415085316,-0.014729568734765053,2.455431967973709e-05,455,same,455
Is there a voiceover?,no,-0.011382472701370716,-0.011635116301476955,0.0002526436001062393,455,same,455
Is there a voiceover?,no,-0.007864659652113914,-0.00816211849451065,0.00029745884239673615,259,same,259
Is the flute in the video always playing?,yes,-0.015858393162488937,-0.015748154371976852,-0.00011023879051208496,455,same,455
How many instruments are sounding in the video?,two,-0.011761166155338287,-0.011505822651088238,-0.0002553435042500496,259,same,259
Is the acoustic_guitar in the video always playing?,yes,-0.013619021512567997,-0.013694089837372303,7.506832480430603e-05,259,same,259
How many instruments are sounding in the video?,two,-0.012191740795969963,-0.011945162899792194,-0.0002465778961777687,259,same,259
How many types of musical instruments sound in the video?,two,-0.014345573261380196,-0.014870109967887402,0.000524536706507206,455,same,455
Is the accordion in the video always playing?,no,-0.012470465153455734,-0.0125293442979455,5.887914448976517e-05,455,same,455
How many types of musical instruments sound in the video?,one,-0.007890896871685982,-0.00843788217753172,0.0005469853058457375,105,same,105
