question,answer,cosine_same_anchor,cosine_wrong_modality_anchor,margin_same_minus_wrong,top1_same_index,top1_combined_domain,top1_combined_index
Is the ukulele in the video always playing?,yes,-0.0070101614110171795,-0.0069094495847821236,-0.00010071182623505592,474,wrong,986
Is the guzheng louder than the piano?,yes,-0.0027457294054329395,-0.0018332453910261393,-0.0009124840144068003,474,wrong,986
What is the instrument on the left of electric_bass?,saxophone,-0.004428579937666655,-0.003731491742655635,-0.0006970881950110197,474,wrong,986
How many sounding banjo in the video？,one,-0.0015386235900223255,-0.001026873360387981,-0.0005117502296343446,74,wrong,586
How many types of musical instruments sound in the video?,one,-0.0046536363661289215,-0.004713892936706543,6.025657057762146e-05,474,wrong,986
How many types of musical instruments sound in the video?,two,-0.0032612979412078857,-0.0030904149170964956,-0.00017088302411139011,74,wrong,586
Is the ukulele in the video always playing?,yes,-0.008859909139573574,-0.008889907971024513,2.999883145093918e-05,474,wrong,986
Is the xylophone in the video always playing?,yes,-0.011308437213301659,-0.011595351621508598,0.0002869144082069397,474,wrong,986
What is the first instrument that comes in?,acoustic_guitar,-0.004790090955793858,-0.0036356677301228046,-0.001154423225671053,474,wrong,986
Is there a voiceover?,no,-0.005856823176145554,-0.005668360274285078,-0.00018846290186047554,474,wrong,986
Is this sound from the instrument in the video?,yes,-0.004665269982069731,-0.004289503674954176,-0.0003757663071155548,474,wrong,986
How many instruments are sounding in the video?,two,-0.0018975618295371532,-0.002194330794736743,0.00029676896519958973,74,wrong,586
Is there a voiceover?,no,-0.005538268014788628,-0.005171029828488827,-0.00036723818629980087,474,wrong,986
Is this sound from the instrument in the video?,yes,-0.0025259109679609537,-0.0023379120975732803,-0.00018799887038767338,74,wrong,586
Is there a voiceover?,no,-0.0036449749022722244,-0.003227685810998082,-0.00041728909127414227,474,wrong,586
Is there a voiceover?,no,-0.00345328520052135,-0.003000925062224269,-0.000452360138297081,74,wrong,586
Is the flute in the video always playing?,yes,-0.004319817293435335,-0.004353346768766642,3.352947533130646e-05,474,wrong,586
How many instruments are sounding in the video?,two,-0.002428814535960555,-0.0027727275155484676,0.00034391297958791256,474,wrong,986
